Id,SalePrice
1461,121731.49793447659
1462,168004.41234940226
1463,195007.72777362115
1464,192528.8101537247
1465,192127.899481325
1466,175532.05477710496
1467,180681.004712608
1468,163751.91369446015
1469,192286.80829443206
1470,125176.00232612384
1471,181070.29360567481
1472,98184.23117665572
1473,99376.15740622906
1474,150649.25697996307
1475,114501.93508361283
1476,361207.9634207615
1477,260509.73874677857
1478,284489.4944792067
1479,277809.8916243313
1480,468455.49359040614
1481,341390.5273531661
1482,209819.3796822583
1483,181314.90078408353
1484,161589.30621486905
1485,182466.09323173919
1486,192957.9570352139
1487,336177.69321973063
1488,228359.63638481792
1489,204021.52690479194
1490,233251.93146362554
1491,194883.51002741366
1492,89423.95930515302
1493,176999.36621383348
1494,302142.11191020266
1495,285989.20999619894
1496,242864.70691015822
1497,176616.17317471872
1498,175970.74516164704
1499,167806.71296112452
1500,157757.04275962667
1501,171653.18063694797
1502,141249.9751951235
1503,271529.8788234918
1504,241409.61559216204
1505,225556.2876260549
1506,193559.4147848537
1507,248241.51243991405
1508,195643.6546834808
1509,158192.6257769789
1510,144913.67754920022
1511,157312.3527822029
1512,172270.32249943732
1513,140682.91847340186
1514,159952.99474334583
1515,195125.43621607535
1516,152883.81886949713
1517,168521.703558141
1518,134115.14434589367
1519,224929.70769297893
1520,130219.19168797336
1521,136989.90216647476
1522,171160.9779811383
1523,119396.76717284153
1524,123659.73746253335
1525,122122.57229066604
1526,113388.19389255747
1527,104232.08017078711
1528,132304.01253930718
1529,155414.20112675545
1530,196921.92837799955
1531,103378.55355425352
1532,90312.74511240842
1533,148659.01360773487
1534,116013.4427189016
1535,148083.09738615472
1536,108804.96835479436
1537,63470.5323412572
1538,155368.1673315297
1539,193141.27159815788
1540,83937.44675402858
1541,144484.72810172263
1542,139648.45083690953
1543,190800.80646016027
1544,78837.99842615445
1545,113220.27345951578
1546,127373.40530693828
1547,138748.43185215374
1548,137010.87073382852
1549,113754.60209330799
1550,133361.01041661834
1551,103455.97334056566
1552,142700.83802138251
1553,151238.40973670455
1554,116787.05642875803
1555,165913.33336842258
1556,83334.32754540913
1557,109053.32293645505
1558,101907.3394741825
1559,65492.71656253236
1560,127305.30307835616
1561,137724.94383702255
1562,129147.19641974762
1563,121326.09039375755
1564,154677.82160992254
1565,151455.18522140576
1566,233427.58247321105
1567,75772.82934646468
1568,216354.57216423904
1569,140571.1483866774
1570,133196.4414455719
1571,119842.59999993247
1572,143331.9152783023
1573,249274.1527903874
1574,114825.53511426385
1575,240378.66683841764
1576,232345.16456191894
1577,188125.7003374891
1578,143307.96351793557
1579,145373.54556724866
1580,200919.6170961836
1581,155596.12923414048
1582,125593.788192601
1583,306625.9161548094
1584,213947.20698621217
1585,138751.7417294143
1586,72877.52382893725
1587,103206.62049683649
1588,149913.45877712112
1589,99144.77816432381
1590,135501.81423402435
1591,93126.14554095444
1592,115352.61379446079
1593,129199.28996540622
1594,141604.5701165535
1595,108389.65286009577
1596,234069.9985121771
1597,188940.139238858
1598,222520.87403835222
1599,174474.1945912845
1600,167134.03352889634
1601,64812.16890545145
1602,118948.50065522833
1603,68186.91945868252
1604,261765.00090576193
1605,234825.540203538
1606,162513.27397870115
1607,172291.6897270393
1608,210086.95732753625
1609,190403.85024589938
1610,158101.06418058946
1611,137662.5500149095
1612,171559.88282309586
1613,166316.5109074415
1614,124368.14732407762
1615,89847.80558665008
1616,74478.49427677218
1617,90275.72731120764
1618,136511.09649297764
1619,143616.7919115212
1620,155470.17495065642
1621,140523.24568815882
1622,142817.89880044654
1623,260137.12656297302
1624,201695.95021018913
1625,119785.47774270466
1626,163995.23120419466
1627,194691.4655205504
1628,277022.199163888
1629,181432.31179780423
1630,388034.93648501585
1631,228765.03897831947
1632,247978.6279952328
1633,169194.20543725078
1634,185522.7849338286
1635,178083.2809620599
1636,153799.31535441414
1637,191399.93815656146
1638,184988.8101139693
1639,187225.89086603932
1640,248484.23834194036
1641,183238.25944771207
1642,251574.7321212461
1643,225015.43916145014
1644,241427.8706029968
1645,210599.15218765702
1646,157368.43381387598
1647,155281.91564174887
1648,130157.2490559636
1649,141343.32046789504
1650,117283.89537866376
1651,123426.07731749714
1652,99199.63183792688
1653,99627.19989629525
1654,143432.32943640547
1655,139521.5764382005
1656,144685.686167333
1657,148308.65575728475
1658,142039.28221929198
1659,122124.75815197077
1660,151853.3020955024
1661,446096.6068628746
